source_id,area1,area2,action,location,site,plot,survival,log_size,log_size_next,id,transition,repro,flower_n,flower_n_int
M08_69_2022,68.77,58.84,shrink,Maguey,8,69,1,4.230767603331745,4.074821895733237,161,t2,0,0,0
M08_69_2022,33.45,30.37,shrink,Maguey,8,69,1,3.5100517865742376,3.4134552790576573,162,t2,0,0,0
M08_69_2022,18.36,13,shrink,Maguey,8,69,1,2.9101743851923443,2.5649493574615367,163,t2,0,0,0
M08_69_2022,40.89,15.97,shrink,Maguey,8,69,1,3.7108855343765508,2.770711962226921,164,t2,0,0,0
M08_69_2022,50.75,26.57,shrink,Maguey,8,69,1,3.926911617921897,3.279782759771722,165,t2,0,0,0
M08_69_2022,24.89,21.42,shrink,Maguey,8,69,1,3.2144661163795005,3.064325065019603,166,t2,0,0,0
M08_69_2022,33.73,22.55,shrink,Maguey,8,69,1,3.5183876490735586,3.1157350659486873,167,t2,0,0,0
M08_69_2022,53.94,43.97,shrink,Maguey,8,69,1,3.987872317711584,3.7835075831927187,168,t2,0,0,0
M08_69_2022,7.87,4.94,shrink,Maguey,8,69,1,2.063058062429312,1.5973653311998313,169,t2,0,0,0
M08_69_2022,6.95,4.46,shrink,Maguey,8,69,1,1.9387416595767009,1.4951487660319727,170,t2,0,0,0
M08_69_2022,182.75,164.94,shrink,Maguey,8,69,1,5.208119098629888,5.105581771405209,171,t2,1,0.5613551539953284,1
M08_69_2022,34.57,16.21,shrink,Maguey,8,69,1,3.5429862539335333,2.785628335747585,172,t2,0,0,0
M08_69_2022,39.25,34.08,shrink,Maguey,8,69,1,3.6699514442284173,3.528710701961115,173,t2,0,0,0
M08_69_2022,21.37,15.41,shrink,Maguey,8,69,1,3.0619880693310564,2.7350166493320245,174,t2,0,0,0
M08_69_2022,10.66,10.13,shrink,Maguey,8,69,1,2.3664984187376983,2.315501318260592,175,t2,0,0,0
M08_69_2022,10.34,7.6,shrink,Maguey,8,69,1,2.336019869080283,2.028148247292285,176,t2,0,0,0
M08_69_2022,2.64,2.38,shrink,Maguey,8,69,1,0.9707789171582248,0.8671004876833833,177,t2,0,0,0
M08_69_2022,23.6,20.29,shrink,Maguey,8,69,1,3.1612467120315646,3.0101281538377234,178,t2,0,0,0
M08_69_2022,110.46,103.02,shrink,Maguey,8,69,1,4.704653464473042,4.6349231441374394,179,t2,1,0.5070893003846032,1
M08_69_2022,34.93,27.78,shrink,Maguey,8,69,1,3.5533460588187404,3.3243163373261977,180,t2,0,0,0
M08_69_2022,64.91,46.78,shrink,Maguey,8,69,1,4.173001695045377,3.845455761156033,181,t2,0,0,0
M08_69_2022,61.76,20.58,shrink,Maguey,8,69,1,4.123255905716521,3.0243197304059035,182,t2,0,0,0
M08_69_2022,18.12,16.04,shrink,Maguey,8,69,1,2.8970163006148333,2.7750856024383683,183,t2,0,0,0
M08_69_2022,40.66,35.07,shrink,Maguey,8,69,1,3.7052448082002005,3.5573460641520867,184,t2,0,0,0
M08_69_2022,99.77,74.26,shrink,Maguey,8,69,1,4.602867536925416,4.307572448748934,185,t2,0,0,0
M08_69_2022,66.74,45.69,shrink,Maguey,8,69,1,4.2008044733232275,3.8218794555751803,186,t2,0,0,0
M08_69_2022,26.04,21.88,shrink,Maguey,8,69,1,3.2596338173403683,3.0855729775537806,187,t2,0,0,0
M08_69_2022,42.18,29.92,shrink,Maguey,8,69,1,3.7419461750506287,3.3985271531062766,188,t2,0,0,0
M08_69_2022,24.31,18.5,shrink,Maguey,8,69,1,3.1908877883280318,2.917770732084279,189,t2,0,0,0
M08_69_2022,15.49,12.69,shrink,Maguey,8,69,1,2.740194654428777,2.540814281726296,190,t2,0,0,0
M08_69_2022,53.78,13.48,shrink,Maguey,8,69,1,3.9849016508407185,2.601207105484161,191,t2,0,0,0
M08_69_2022,10.18,6.72,shrink,Maguey,8,69,1,2.3204250111223765,1.9050881545350582,192,t2,0,0,0
M08_69_2022,13.36,10.79,shrink,Maguey,8,69,1,2.5922651681085,2.378619779270043,193,t2,0,0,0
M08_69_2022,28.05,24.44,shrink,Maguey,8,69,1,3.3339886319687055,3.1962211343033946,194,t2,0,0,0
M08_69_2022,61.91,55.66,shrink,Maguey,8,69,1,4.12568171753114,4.019261756097745,195,t2,0,0,0
M08_69_2022,74.91,60.88,shrink,Maguey,8,69,1,4.316287392959792,4.1089047135534305,196,t2,0,0,0
M08_69_2022,15.51,13.17,shrink,Maguey,8,69,1,2.7414849771884473,2.5779415157551897,197,t2,0,0,0
M08_69_2022,4.45,4.23,shrink,Maguey,8,69,1,1.4929040961781488,1.4422019930581866,198,t2,0,0,0
M08_69_2022,3.13,2.29,shrink,Maguey,8,69,1,1.1410330045520618,0.8285518175661483,199,t2,0,0,0
M08_70_2022,0,2.41,born,Maguey,8,70,NA,NA,0.8796267475025636,200,t2,NA,NA,NA
M08_70_2022,0,40.8,born,Maguey,8,70,NA,NA,3.708682081410116,201,t2,NA,NA,NA
M08_70_2022,0,13.34,born,Maguey,8,70,NA,NA,2.590767040487478,202,t2,NA,NA,NA
M08_70_2022,0,3.47,born,Maguey,8,70,NA,NA,1.244154593958768,203,t2,NA,NA,NA
M08_70_2022,0,3.19,born,Maguey,8,70,NA,NA,1.1600209167967532,204,t2,NA,NA,NA
M08_70_2022,0,1.21,born,Maguey,8,70,NA,NA,0.1906203596086497,205,t2,NA,NA,NA
M08_70_2022,0,3.19,born,Maguey,8,70,NA,NA,1.1600209167967532,206,t2,NA,NA,NA
M08_70_2022,0,2.7,born,Maguey,8,70,NA,NA,0.9932517730102834,207,t2,NA,NA,NA
M08_70_2022,0,5.19,born,Maguey,8,70,NA,NA,1.6467336971777973,208,t2,NA,NA,NA
M08_70_2022,0,6.21,born,Maguey,8,70,NA,NA,1.8261608959453874,209,t2,NA,NA,NA
M08_70_2022,0,2.91,born,Maguey,8,70,NA,NA,1.0681530811834012,210,t2,NA,NA,NA
M08_70_2022,0,2.5,born,Maguey,8,70,NA,NA,0.9162907318741551,211,t2,NA,NA,NA
M08_70_2022,0,5.11,born,Maguey,8,70,NA,NA,1.631199404215613,212,t2,NA,NA,NA
M08_70_2022,0,2.21,born,Maguey,8,70,NA,NA,0.7929925155296614,213,t2,NA,NA,NA
M08_70_2022,0,3.03,born,Maguey,8,70,NA,NA,1.1085626195212777,214,t2,NA,NA,NA
M08_70_2022,0,1.4,born,Maguey,8,70,NA,NA,0.3364722366212129,215,t2,NA,NA,NA
M08_70_2022,0,0.66,born,Maguey,8,70,NA,NA,-0.4155154439616658,216,t2,NA,NA,NA
M08_70_2022,0,7.62,born,Maguey,8,70,NA,NA,2.030776369698555,217,t2,NA,NA,NA
M08_70_2022,0,12.64,born,Maguey,8,70,NA,NA,2.5368663887187113,218,t2,NA,NA,NA
M08_70_2022,0,6.85,born,Maguey,8,70,NA,NA,1.9242486522741338,219,t2,NA,NA,NA
M08_70_2022,0,3.38,born,Maguey,8,70,NA,NA,1.2178757094949273,220,t2,NA,NA,NA
M08_70_2022,0,0.9,born,Maguey,8,70,NA,NA,-0.10536051565782628,221,t2,NA,NA,NA
M08_70_2022,0,3.79,born,Maguey,8,70,NA,NA,1.332366019094335,222,t2,NA,NA,NA
M08_70_2022,0,2.22,born,Maguey,8,70,NA,NA,0.7975071958841882,223,t2,NA,NA,NA
M08_70_2022,0,13.87,born,Maguey,8,70,NA,NA,2.6297282343267403,224,t2,NA,NA,NA
M08_70_2022,0,2.2,born,Maguey,8,70,NA,NA,0.7884573603642703,225,t2,NA,NA,NA
M08_70_2022,0,18.04,born,Maguey,8,70,NA,NA,2.8925915146344776,226,t2,NA,NA,NA
M08_70_2022,0,3.01,born,Maguey,8,70,NA,NA,1.1019400787607843,227,t2,NA,NA,NA
M08_70_2022,0,3.21,born,Maguey,8,70,NA,NA,1.1662709371419244,228,t2,NA,NA,NA
M08_70_2022,0,12.14,born,Maguey,8,70,NA,NA,2.4965057856313524,229,t2,NA,NA,NA
M08_70_2022,0,5.29,born,Maguey,8,70,NA,NA,1.665818245870208,230,t2,NA,NA,NA
M08_70_2022,0,1.57,born,Maguey,8,70,NA,NA,0.45107561936021673,231,t2,NA,NA,NA
M08_70_2022,0,2.28,born,Maguey,8,70,NA,NA,0.8241754429663494,232,t2,NA,NA,NA
M08_70_2022,0,6.29,born,Maguey,8,70,NA,NA,1.8389610707123492,233,t2,NA,NA,NA
M08_70_2022,0,4.59,born,Maguey,8,70,NA,NA,1.5238800240724537,234,t2,NA,NA,NA
M08_70_2022,0,2.2,born,Maguey,8,70,NA,NA,0.7884573603642703,235,t2,NA,NA,NA
M08_70_2022,0,2.07,born,Maguey,8,70,NA,NA,0.7275486072772777,236,t2,NA,NA,NA
M08_70_2022,0,2.44,born,Maguey,8,70,NA,NA,0.8919980393051105,237,t2,NA,NA,NA
M08_70_2022,0,2.77,born,Maguey,8,70,NA,NA,1.0188473201992472,238,t2,NA,NA,NA
M08_70_2022,0,3.57,born,Maguey,8,70,NA,NA,1.2725655957915476,239,t2,NA,NA,NA
